index,date,cost,quan,tally_q,tally_c,date_s,proceeds,tally_q2,tally_c2,sold,tally_s,remain,,,
12,11/30/22,273.29,50,35050,195743.99,2/21/2023,292.74,1950,11704.54,0,0,0,,,
11,11/30/22,264.8,50,35100,196008.79,2/21/2023,330.74,1900,11431.25,0,0,0,,,
10,1/27/23,4453.49,850,35950,200462.28,2/21/2023,4976.5,1850,11166.45,0,0,0,,,
9,11/30/22,551.39,100,36050,201013.67,2/3/2023,618.98,1000,6712.96,1000,1000,0,,,
8,11/30/22,320.81,50,36100,201334.48,2/3/2023,309.49,900,6161.57,0,0,0,,,
7,11/30/22,640.57,100,36200,201975.05,2/3/2023,618.98,850,5840.76,0,0,0,,,
6,11/30/22,1113.15,150,36350,203088.2,2/3/2023,938.2,750,5200.19,0,0,0,,,
5,11/30/22,365.4,50,36400,203453.6,2/3/2023,333.99,600,4087.04,0,0,0,,,
4,11/30/22,742.1,100,36500,204195.7,2/3/2023,667.98,550,3721.64,0,0,0,,,
3,11/30/22,652.92,100,36600,204848.62,2/3/2023,625.47,450,2979.54,0,0,0,,,
2,11/30/22,499.59,100,36700,205348.21,2/3/2023,585.47,350,2326.62,0,0,0,,,
1,11/30/22,1827.03,250,36950,207175.24,1/27/2023,1378.03,250,1827.03,0,0,0,,,
,,,,,,,,,, , ,,,,
