index,date,cost,quan,tally_q,tally_c,date_s,proceeds,tally_q2,tally_c2
10,9/15/2022,917.10,100,36100,36336.79,2/3/2023,625.47,950,7178.82
9,9/15/2022,2012.56,200,36300,38349.35,2/3/2023,1335.96,850,6261.72
8,9/15/2022,815.57,100,36400,39164.92,2/3/2023,618.98,650,4249.16
7,9/15/2022,413.70,50,36450,39578.62,2/3/2023,309.49,550,3433.59
6,9/15/2022,674.59,100,36550,40253.21,2/21/2023,585.47,500,3019.89
5,9/15/2022,630.86,100,36650,40884.07,2/21/2023,585.47,400,2345.30
4,9/15/2022,343.21,50,36700,41227.28,2/21/2023,292.74,300,1714.44
3,9/15/2022,287.72,50,36750,41515.00,2/22/2023,330.74,250,1371.23
2,9/15/2022,563.62,100,36850,42078.62,2/22/2023,661.47,200,1083.51
1,9/15/2022,519.89,100,36950,42598.51,2/22/2023,661.47,100,519.89
